,max,mean,min
conv.0.weight,0.07216276,-0.0003256118,-0.07215996
conv.0.bias,0.07155084,0.0006125909,-0.071235895
conv.2.weight,0.044193905,7.74279e-05,-0.044192784
conv.2.bias,0.043160062,0.00036653946,-0.043962818
conv.4.weight,0.041666217,2.5671293e-06,-0.04165922
conv.4.bias,0.040877014,-0.002756937,-0.04099623
value_net.0.weight,0.030929392,-3.7516347e-06,-0.030929338
value_net.0.bias,0.030760277,-0.00017944144,-0.0306972
value_net.0.sigma_weight,0.0,0.0,0.0
value_net.0.sigma_bias,0.0,0.0,0.0
value_net.2.weight,0.1070324,0.0063404664,-0.107498154
value_net.2.bias,-0.020887457,-0.020887457,-0.020887457
value_net.2.sigma_weight,0.0,0.0,0.0
value_net.2.sigma_bias,0.0,0.0,0.0
adv_net.0.weight,0.030929474,1.2861276e-05,-0.030929472
adv_net.0.bias,0.030468175,-0.0007018208,-0.030869521
adv_net.0.sigma_weight,0.0,0.0,0.0
adv_net.0.sigma_bias,0.0,0.0,0.0
adv_net.2.weight,0.10816567,0.0013135257,-0.10794354
adv_net.2.bias,0.07780962,0.00707892,-0.08417281
adv_net.2.sigma_weight,0.0,0.0,0.0
adv_net.2.sigma_bias,0.0,0.0,0.0
