,max,mean,min
conv.0.weight,0.11817009,9.779547e-05,-0.12593392
conv.0.bias,0.06844346,0.0017690959,-0.066651285
conv.2.weight,0.18397532,0.0008519485,-0.19866219
conv.2.bias,0.049118564,-0.003664894,-0.048361592
conv.4.weight,0.12293128,-0.00019775153,-0.14625171
conv.4.bias,0.04208838,-0.0029968394,-0.043052595
value_net.0.weight,0.17963535,0.00041238396,-0.17287348
value_net.0.bias,0.04377568,0.0014049173,-0.03479048
value_net.0.sigma_weight,0.047613207,1.2264096e-06,-0.03973216
value_net.0.sigma_bias,0.017881265,-2.0765889e-05,-0.01427308
value_net.2.weight,0.12695295,-0.008024462,-0.19038871
value_net.2.bias,0.067175694,0.067175694,0.067175694
value_net.2.sigma_weight,0.00916437,-0.00025662658,-0.010528516
value_net.2.sigma_bias,0.0028766408,0.0028766408,0.0028766408
adv_net.0.weight,0.09539521,-0.00070856017,-0.111616015
adv_net.0.bias,0.032769267,-0.0007309577,-0.033631887
adv_net.0.sigma_weight,0.032346748,-1.0932762e-06,-0.033150703
adv_net.0.sigma_bias,0.011016818,-9.012407e-05,-0.009658623
adv_net.2.weight,0.12270076,0.0006223389,-0.14047602
adv_net.2.bias,0.04531321,-0.01001737,-0.07906018
adv_net.2.sigma_weight,0.0143074645,0.00018070215,-0.015353871
adv_net.2.sigma_bias,0.0023040276,0.0002861971,-0.002097448
