,max,mean,min
conv.0.weight,0.07209405,-0.00014235156,-0.072077766
conv.0.bias,0.06954496,-0.0031842105,-0.07206827
conv.2.weight,0.044193864,0.00014466862,-0.044191994
conv.2.bias,0.043675244,0.00063878484,-0.04284239
conv.4.weight,0.041661084,-3.8774256e-06,-0.041666336
conv.4.bias,0.03628933,-0.0028873303,-0.041591518
value_net.0.weight,0.030929415,3.891681e-06,-0.030929476
value_net.0.bias,0.030790966,0.00041182528,-0.030782098
value_net.0.sigma_weight,0.0,0.0,0.0
value_net.0.sigma_bias,0.0,0.0,0.0
value_net.2.weight,0.10713533,0.0017356498,-0.10816613
value_net.2.bias,-0.011128196,-0.011128196,-0.011128196
value_net.2.sigma_weight,0.0,0.0,0.0
value_net.2.sigma_bias,0.0,0.0,0.0
adv_net.0.weight,0.030929426,1.3089515e-05,-0.030929437
adv_net.0.bias,0.030485403,-0.0016585807,-0.030802103
adv_net.0.sigma_weight,0.0,0.0,0.0
adv_net.0.sigma_bias,0.0,0.0,0.0
adv_net.2.weight,0.108198576,-0.0007120639,-0.10805899
adv_net.2.bias,0.05222153,-0.020417618,-0.071351446
adv_net.2.sigma_weight,0.0,0.0,0.0
adv_net.2.sigma_bias,0.0,0.0,0.0
