,max,mean,min
conv.0.weight,0.26205733,-0.0009973119,-0.27681682
conv.0.bias,0.07027692,0.005838884,-0.068240695
conv.2.weight,0.21889083,0.0002046276,-0.34253362
conv.2.bias,0.06546776,0.008144092,-0.048968494
conv.4.weight,0.25758883,-0.0023626243,-0.36239216
conv.4.bias,0.084748685,0.008657936,-0.058164507
value_net.0.weight,0.33164048,-0.0011900985,-0.3068631
value_net.0.bias,0.06918873,0.006561353,-0.054351043
value_net.0.sigma_weight,0.095320374,-1.4757396e-05,-0.074229605
value_net.0.sigma_bias,0.020332163,0.00016777652,-0.01827806
value_net.2.weight,0.21831828,-0.014974787,-0.33014977
value_net.2.bias,0.06850767,0.06850767,0.06850767
value_net.2.sigma_weight,0.02946007,0.000426454,-0.014795108
value_net.2.sigma_bias,-0.00026952423,-0.00026952423,-0.00026952423
adv_net.0.weight,0.23730406,-0.0061924797,-0.3168346
adv_net.0.bias,0.04654682,-0.011433637,-0.062078014
adv_net.0.sigma_weight,0.081858814,-1.3156981e-05,-0.08246099
adv_net.0.sigma_bias,0.026920257,-0.00039516328,-0.025941445
adv_net.2.weight,0.2336277,-0.0008104931,-0.30266908
adv_net.2.bias,0.03836001,-0.005054725,-0.028270362
adv_net.2.sigma_weight,0.032236934,9.450915e-05,-0.039785348
adv_net.2.sigma_bias,0.00095365784,-0.0008130302,-0.002453061
