,max,mean,min
conv.0.weight,0.07216768,9.5875446e-05,-0.07216145
conv.0.bias,0.07027692,0.013894767,-0.068240695
conv.2.weight,0.044193856,0.00018425501,-0.044191316
conv.2.bias,0.043508008,9.5534604e-05,-0.042513918
conv.4.weight,0.041666307,-3.3481676e-05,-0.04166592
conv.4.bias,0.040513717,-0.00091448444,-0.04166471
value_net.0.weight,0.03092936,-4.8964575e-06,-0.030929422
value_net.0.bias,0.030832844,-0.00011114695,-0.030676113
value_net.0.sigma_weight,0.0,0.0,0.0
value_net.0.sigma_bias,0.0,0.0,0.0
value_net.2.weight,0.10813312,0.0044250553,-0.10702136
value_net.2.bias,0.10575135,0.10575135,0.10575135
value_net.2.sigma_weight,0.0,0.0,0.0
value_net.2.sigma_bias,0.0,0.0,0.0
adv_net.0.weight,0.030929448,1.8452545e-05,-0.030929461
adv_net.0.bias,0.03089302,-0.0021372999,-0.03091807
adv_net.0.sigma_weight,0.0,0.0,0.0
adv_net.0.sigma_bias,0.0,0.0,0.0
adv_net.2.weight,0.108240165,-0.000701248,-0.10807065
adv_net.2.bias,0.090322934,-0.0063453726,-0.040437404
adv_net.2.sigma_weight,0.0,0.0,0.0
adv_net.2.sigma_bias,0.0,0.0,0.0
